411,0,0,0
833,0,1,0
1186,0,2,0
1578,0,3,0
1926,0,4,0
2285,0,5,0
2639,0,6,0
2984,0,7,0
3342,0,8,0
3690,0,9,0
4040,0,10,0
4365,1,0,0
4644,1,1,0
4917,1,2,0
5194,1,3,0
5580,1,4,0
5879,1,5,0
6235,1,6,0
6683,1,7,0
7277,1,8,0
7704,1,9,0
8066,1,10,0
8318,2,0,0
8627,2,1,0
8863,2,2,0
9081,2,3,0
9350,2,4,0
9612,2,5,0
9841,2,6,0
10105,2,7,0
10442,2,8,0
10758,2,9,0
11033,2,10,0
11274,3,0,0
11476,3,1,0
11680,3,2,0
11884,3,3,0
12090,3,4,0
12297,3,5,0
12502,3,6,0
12712,3,7,0
12943,3,8,0
13144,3,9,0
13359,3,10,0
13579,4,0,0
13766,4,1,0
13962,4,2,0
14168,4,3,0
14354,4,4,0
14549,4,5,0
14748,4,6,0
14964,4,7,0
15160,4,8,0
15364,4,9,0
15554,4,10,0
15735,5,0,0
15904,5,1,0
16082,5,2,0
16260,5,3,0
16444,5,4,0
16667,5,5,0
16927,5,6,0
17230,5,7,0
17520,5,8,0
17831,5,9,0
18056,5,10,0
18249,6,0,0
18431,6,1,0
18608,6,2,0
18879,6,3,0
19060,6,4,0
19236,6,5,0
19407,6,6,0
19589,6,7,0
19764,6,8,0
19939,6,9,0
20130,6,10,0
20326,7,0,0
20525,7,1,0
20679,7,2,0
20848,7,3,0
21020,7,4,0
21188,7,5,0
21368,7,6,0
21539,7,7,0
21711,7,8,0
21880,7,9,0
22070,7,10,0
22342,8,0,0
22545,8,1,0
22725,8,2,0
22914,8,3,0
23104,8,4,0
23274,8,5,0
23450,8,6,0
23613,8,7,0
23786,8,8,0
23944,8,9,0
24117,8,10,0
24285,9,0,0
24443,9,1,0
24598,9,2,0
24762,9,3,0
24932,9,4,0
25099,9,5,0
25278,9,6,0
25453,9,7,0
25626,9,8,0
25798,9,9,0
25972,9,10,0
26131,10,0,0
26287,10,1,0
26468,10,2,0
26629,10,3,0
26803,10,4,0
26985,10,5,0
27164,10,6,0
27335,10,7,0
27523,10,8,0
27706,10,9,0
27916,10,10,0
28154,11,0,0
28444,11,1,0
28853,11,2,0
29048,11,3,0
29235,11,4,0
29436,11,5,0
29604,11,6,0
29763,11,7,0
29935,11,8,0
30112,11,9,0
30273,11,10,0
30446,12,0,0
30664,12,1,0
30906,12,2,0
31066,12,3,0
31232,12,4,0
31402,12,5,0
31578,12,6,0
31772,12,7,0
31946,12,8,0
32125,12,9,0
32299,12,10,0
32485,13,0,0
32643,13,1,0
32799,13,2,0
32962,13,3,0
33142,13,4,0
33331,13,5,0
33514,13,6,0
33691,13,7,0
33855,13,8,0
34041,13,9,0
34211,13,10,0
34376,14,0,0
34542,14,1,0
34711,14,2,0
34884,14,3,0
35058,14,4,0
35232,14,5,0
35434,14,6,0
35630,14,7,0
35830,14,8,0
36002,14,9,0
36176,14,10,0
36344,15,0,0
36499,15,1,0
36673,15,2,0
36856,15,3,0
37055,15,4,0
37243,15,5,0
37423,15,6,0
37609,15,7,0
37791,15,8,0
